,Bloque,Tema GSI,Clasificación,Contenido oficial resumido,Temas A1 / PreparaTIC,Cómo usarlo,Relevancia supuesto,Carpeta fuente A1,Mapeo A2→A1,Convocatoria vigente
0,I,I.01,DIRECTO,Constitución: derechos y libertades; Corona,001,Base A1 muy aprovechable. Revisar siempre texto constitucional vigente.,Baja,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
1,I,I.02,DIRECTO,"Cortes Generales, Tribunal Constitucional y Defensor del Pueblo",001,El A1 cubre el núcleo. Estudiar solo los apartados que exige GSI.,Baja,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
2,I,I.03,COMPUESTO,Gobierno y Administración,001 + 007,Unir estructura constitucional con Derecho administrativo.,Baja,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
3,I,I.04,COMPUESTO,"Transparencia, gobierno abierto y Agenda 2030",025 + 014 (+031),Revisar planes/estrategias actuales: contenido muy sensible a actualización.,Media,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
4,I,I.05,COMPLEMENTAR,"Igualdad, no discriminación LGTBI y discapacidad",016,El banco A1 no cubre bien todo el alcance GSI. Añadir normativa vigente específica.,Baja,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
5,I,I.06,COMPUESTO,"Sociedad de la información, agenda digital, identidad y firma, eIDAS y DNIe",051 + 080 + 081,"Buen material base, pero eIDAS/identidad digital debe revisarse con normativa vigente.",Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
6,I,I.07,DIRECTO,Protección de datos personales,027 + 082,"Muy aprovechable para GSI; actualizar RGPD/LOPDGDD, autoridades y criterios recientes.",Alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
7,I,I.08,COMPUESTO,"Leyes 39/2015, 40/2015 y EBEP",008 + 009 + 010 + 024,"Tema jurídico amplio: usar selección de epígrafes, no estudiar cuatro temas A1 completos.",Media,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
8,I,I.09,COMPUESTO,"Administración electrónica, datos abiertos, ENS, ENI, NTI y CCN-STIC 800",008 + 009 + 025 + 045 + 046 + 047 + 048,Muy importante y transversal. Combinar normativa y aplicación técnica.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
9,I,I.10,COMPUESTO,"Cooperación en administración electrónica, infraestructuras y servicios comunes",008 + 009 + 049,Servicios comunes cambian; usar A1 como base y comprobar estado actual de cada servicio.,Muy alta,https://drive.google.com/drive/folders/1ZKWNPMANbzf3bDFxLSjbkEPhiMn2yvl8,https://preparadorestic.es/2024/07/12/a2-2024-mapeo-temas-estrategia-de-estudio-y-analisis-oep-2022/,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-26262
